"Name","Website","Industry","Country","Funding Amount (USD)","Funding Type","Last Funding Date"
"Astrophel Aerospace","astrophelaerospace.in","Aerospace","India","$798,719","Pre-Seed","Jul 2025"
"Bambrew","www.bambrew.in","Alcohol","India","$10,509,463","Series B","Jul 2025"
"CIMware","cimware.tech","Artificial Intelligence","India","$2,300,000","Seed","Jul 2025"
"Voiceowl","voiceowl.ai","Artificial Intelligence, Analytics","India","","Seed","Jul 2025"
"Garaaz","web.garaaz.com","Automotive, Cloud Computing, Marketplace","India","$531,312","Seed","Jul 2025"
"Loopworm","loopworm.in","Biotechnology, Manufacturing","India","$3,250,000","Seed","Jul 2025"
"Lamark Biotech","lamarkbiotech.com","Biotechnology, Pharmaceuticals","India","$759,017","Seed","Jul 2025"
"Aukera","aukerajewellery.com","E-commerce, Fashion","India","$15,000,000","Series B","Jul 2025"
"Blostem","blostem.com","Education, Artificial Intelligence","India","$466,722","Seed","Jul 2025"
"LApp-Science Games & Exps","lapp.learnwithone.co.in","Education, Gaming","India","","Seed","Jul 2025"
"Cookd","cookdtv.com","Education, Media","India","$1,866,890","Seed","Jul 2025"
"FitFeast","fitfeast.in","Food and Beverage","India","$642,407","Seed","Jul 2025"
"FES Cafe & Desserts","forearthssake.co.in","Food and Beverage","India","$350,404","Seed","Jul 2025"
"Eekifoods","eekifoods.com","Food and Beverage, Agriculture","India","$7,000,000","Series A","Jul 2025"
"Luma Fertility","lumafertility.com","Healthcare","India","$4,000,000","Seed","Jul 2025"
"AppsForBharat","appsforbharat.com","Mobile, Cloud Computing, Wellness","India","$20,435,066","Series C","Jul 2025"
"Jumbotail","w.jumbotail.com","Retail, E-commerce, B2B Software, Marketplace","India","$120,000,000","Series D","Jul 2025"
"Amama Jewellery","www.amama.in","Retail, Education","India","$2,300,000","Seed","Jul 2025"
"Finnese Industrial Laundry","www.finesselaundry.in","","India","$40,825","Pre-Seed","Jul 2025"
"JEH Aerospace","www.jeh.aero","Aerospace, Manufacturing","India","","Venture - Series Unknown","Jul 2025"
"SuperZop","www.superzop.com","Agriculture","India","$12,600,000","Series B","Jul 2025"
"Arteria Technologies","arteriatech.in","Biotechnology, Artificial Intelligence","India","$11,681,549","Series B","Jul 2025"
"Belong","getbelong.com","Cloud Computing","India","$5,000,000","Seed","Jul 2025"
"Linkrunner","www.linkrunner.io","Data, Artificial Intelligence","India","$583,341","Pre-Seed","Jul 2025"
"EnerComp Solutions","www.enercomp.in","Drones, Manufacturing","India","$232,939","Convertible Note","Jul 2025"
"Divine Hindu","www.divinehindu.in","E-commerce, Retail","India","$181,989","Seed","Jul 2025"
"Credit Wise Capital","creditwisecapital.com","Finance","India","$23,333,629","Private Equity","Jul 2025"
"InPrime Finserv","inprime.in","Finance","India","$5,832,979","Series A","Jul 2025"
"Clean Fanatics","cleanfanatics.com","Home Services","India","$1,985,863","Seed","Jul 2025"
"Chai Bisket","chaibisket.com","Media, Entertainment","India","$5,000,000","Seed","Jul 2025"
"Manjha Technologies","manjha.in","Mobile, Cloud Computing","India","$116,660","Seed","Jul 2025"
"Wiselife","wiselife.in","Retail, Consumer Goods","India","$933,277","Seed","Jul 2025"
"Qoruz","qoruz.com","Social Network","India","$500,000","Seed","Jul 2025"
"Green Aero Propulsion","www.greenaero.in","Utilities","India","$1,600,000","Seed","Jul 2025"
"Uravu Labs","www.uravulabs.com","Utilities","India","","Seed","Jul 2025"
"EarthKind Innovations","www.earthkindfoods.com","Agriculture","India","","Pre-Seed","Jul 2025"
"Qik Office","qikoffice.com","Artificial Intelligence","India","$150,000","Pre-Seed","Jul 2025"
"Trupeer Ai","www.trupeer.ai","Artificial Intelligence","India","$3,000,000","Seed","Jul 2025"
"QpiAI","qpiai.tech","Artificial Intelligence, Quantum Computing","India","$32,000,000","Series A","Jul 2025"
"Zuppa Geo Navigation Technologies","www.zuppagps.com","Drones, Cloud Computing","India","$1,500,000","Convertible Note","Jul 2025"
"KNOT","knotnow.co","Fashion, Cloud Computing","India","$3,000,000","Seed","Jul 2025"
"PayU","www.payu.in","Finance","India","$35,232,965","Venture - Series Unknown","Jul 2025"
"Burger Singh","burgersinghonline.com","Food and Beverage, E-commerce","India","$5,485,952","Venture - Series Unknown","Jul 2025"
"DIAL4242","www.dial4242.com","Healthcare","India","$1,048,275","Seed","Jul 2025"
"the HLTY.Beings collective","www.hlty.care","Healthcare","India","$116,280","Pre-Seed","Jul 2025"
"Lo! Foods","lofoods.fit","Healthcare","India","$3,500,000","Series A","Jul 2025"
"Truemeds","www.truemeds.in","Healthcare, Pharmaceuticals","India","$20,324,994","Series C","Jul 2025"
"Deep Algorithms Solutions","www.deepalgorithms.in","Information Technology, Professional Services","India","$1,259,163","Seed","Jul 2025"
"Navana Tech","www.navana.ai","Mobile","India","$815,325","Seed","Jul 2025"
"ZeusHygia","www.zeushygia.com","Pharmaceuticals, Manufacturing","India","$2,500,000","Series A","Jul 2025"
"The Wedding Company","www.theweddingcompany.com","Professional Services","India","$931,800","Pre-Seed","Jul 2025"
"Mafkin Robotics Pvt Ltd","www.mafkinrobotics.com","Robotics","India","","Seed","Jul 2025"
"Unibose Technology","unibose.com","Robotics, Home Services","India","$639,542","Seed","Jul 2025"
"Kluisz.ai","kluisz.ai","Artificial Intelligence, Cloud Computing","India","$9,600,000","Seed","Jul 2025"
"iTuring.ai","www.cyborgintell.com","Artificial Intelligence, Cloud Computing","India","$5,000,000","Series A","Jul 2025"
"Grexa AI","grexa.ai","Artificial Intelligence, Sales, Marketing","India","$1,794,134","Seed","Jul 2025"
"SUGAR Cosmetics","in.sugarcosmetics.com","Beauty, E-commerce","India","$2,898,250","Venture - Series Unknown","Jul 2025"
"EduFund","www.edufund.in","Education, Finance, Family","India","$6,000,000","Series A","Jul 2025"
"ApClub","www.apclub.co.in","Education, Fitness","India","$231,860","Pre-Seed","Jul 2025"
"Netrasemi","www.netrasemi.com","Electronics","India","$12,399,679","Series A","Jul 2025"
"EVeez","www.eveez.in","EV, Automotive","India","$5,400,000","Series A","Jul 2025"
"Anny","www.styleanny.in","Fashion","India","$1,158,957","Seed","Jul 2025"
"MedGenome","diagnostics.medgenome.com","Healthcare","India","$47,500,000","Series E","Jul 2025"
"Pristyn Care","www.pristyncare.com","Healthcare","India","$4,000,000","Venture - Series Unknown","Jul 2025"
"Bharatsure","bharatsure.com","Insurance, FinTech, Finance","India","$695,309","Venture - Series Unknown","Jul 2025"
"Enlite Research","www.enliteresearch.com","Property Management, Real Estate","India","$5,330,703","Series A","Jul 2025"
"SuperK","www.superk.in","Retail, Marketplace","India","$11,588,486","Series B","Jul 2025"
"Hudle","hudle.in","Sports, Fitness","India","$2,500,000","Series A","Jul 2025"
"Escape Plan","myescplan.com","Travel","India","$5,000,000","Seed","Jul 2025"
"Orbitt Space","orbitt.space","Aerospace","India","$1,000,000","Pre-Seed","Jun 2025"
"Samunnati","samunnati.com","Agriculture","India","$499,606","Series E","Jun 2025"
"Frinks AI","frinks.ai","Artificial Intelligence","India","$5,400,000","Seed","Jun 2025"
"Contineu","www.contineu.ai","Artificial Intelligence","India","$1,200,000","Seed","Jun 2025"
"Ziniosa","ziniosa.com","E-commerce, Fashion","India","","Venture - Series Unknown","Jun 2025"
"Cleevo","getcleevo.com","Education, Gaming","India","$1,000,000","Seed","Jun 2025"
"Slikk","slikk.club","Fashion","India","$10,000,000","Series A","Jun 2025"
"Palmonas","www.palmonas.com","Fashion","India","$6,500,000","Series A","Jun 2025"
"Snitch","www.snitch.co.in","Fashion, E-commerce","India","$32,632,092","Series B","Jun 2025"
"EUME","www.eumeworld.com","Fashion, Retail","India","$2,938,859","Series A","Jun 2025"
"ILIOS 72 Alternative Capital","ilios72altcap.co.in","FinTech, Finance, Investing","India","$117,111","Seed","Jun 2025"
"Snabbit","snabbit.com","Home Services","India","$19,000,000","Series B","Jun 2025"
"GROWiT","www.thegrowit.com","Home Services","India","$3,000,000","Series A","Jun 2025"
"Pepperfry","www.pepperfry.com","E-commerce, Marketplace","India","$5,069,715","Venture - Series Unknown","Jun 2025"
"GyanDhan","www.gyandhan.com","Education","India","$5,850,721","Series A","Jun 2025"
"Gully Labs","gullylabs.com","Education","India","$890,284","Seed","Jun 2025"
"Infin8t","infin8t.tech","Energy","India","$450,000","Pre-Seed","Jun 2025"
"True Diamond","truediamond.in","Fashion","India","$3,033,519","Seed","Jun 2025"
"Plush","www.plushforher.com","Fashion, E-commerce","India","$4,666,952","Series B","Jun 2025"
"Spense","spense.money","FinTech","India","$1,850,000","Pre-Seed","Jun 2025"
"LoanTap","loantap.in","FinTech, Finance","India","$6,300,000","Series C","Jun 2025"
"Naagin","naaginsauce.com","Food and Beverage","India","$2,100,000","Venture - Series Unknown","Jun 2025"
"Khari Foods","kharifoods.com","Food and Beverage","India","$349,332","Seed","Jun 2025"
"Handpickd","handpickd.farm","Food and Beverage","India","$2,526,104","Seed","Jun 2025"
"Paras Healthcare","www.parashospitals.com","Healthcare","India","$19,859,597","Private Equity","Jun 2025"
"Biopeak","www.biopeak.com","Healthcare","India","$3,500,000","Seed","Jun 2025"
"Farmako","farmako.ai","Healthcare, Pharmaceuticals","India","","Seed","Jun 2025"
"The Tarzan Way","www.thetarzanway.com","Travel","India","$232,888","Seed","Jun 2025"
"Garuda Aerospace","www.garudaaerospace.com","Aerospace","India","$1,000,000","Series B","Jun 2025"
"Roomstory.ai","roomstory.ai","Artificial Intelligence","India","$350,428","Pre-Seed","Jun 2025"
"Rumik.ai","rumik.ai","Artificial Intelligence","India","$5,000,000","Seed","Jun 2025"
"Astrophel Aerospace","astrophelaerospace.in","Aerospace","India","$798,719","Pre-Seed","Jul 2025"
"Bambrew","www.bambrew.in","Alcohol","India","$10,509,463","Series B","Jul 2025"
"CIMware","cimware.tech","Artificial Intelligence","India","$2,300,000","Seed","Jul 2025"
"Voiceowl","voiceowl.ai","Artificial Intelligence, Analytics","India","","Seed","Jul 2025"
"Garaaz","web.garaaz.com","Automotive, Cloud Computing, Marketplace","India","$531,312","Seed","Jul 2025"
"Loopworm","loopworm.in","Biotechnology, Manufacturing","India","$3,250,000","Seed","Jul 2025"
"Lamark Biotech","lamarkbiotech.com","Biotechnology, Pharmaceuticals","India","$759,017","Seed","Jul 2025"
"Aukera","aukerajewellery.com","E-commerce, Fashion","India","$15,000,000","Series B","Jul 2025"
"Blostem","blostem.com","Education, Artificial Intelligence","India","$466,722","Seed","Jul 2025"
"LApp-Science Games & Exps","lapp.learnwithone.co.in","Education, Gaming","India","","Seed","Jul 2025"
"Cookd","cookdtv.com","Education, Media","India","$1,866,890","Seed","Jul 2025"
"FitFeast","fitfeast.in","Food and Beverage","India","$642,407","Seed","Jul 2025"
"FES Cafe & Desserts","forearthssake.co.in","Food and Beverage","India","$350,404","Seed","Jul 2025"
"Eekifoods","eekifoods.com","Food and Beverage, Agriculture","India","$7,000,000","Series A","Jul 2025"
"Luma Fertility","lumafertility.com","Healthcare","India","$4,000,000","Seed","Jul 2025"
"AppsForBharat","appsforbharat.com","Mobile, Cloud Computing, Wellness","India","$20,435,066","Series C","Jul 2025"
"Jumbotail","w.jumbotail.com","Retail, E-commerce, B2B Software, Marketplace","India","$120,000,000","Series D","Jul 2025"
"Amama Jewellery","www.amama.in","Retail, Education","India","$2,300,000","Seed","Jul 2025"
"Finnese Industrial Laundry","www.finesselaundry.in","","India","$40,825","Pre-Seed","Jul 2025"
"JEH Aerospace","www.jeh.aero","Aerospace, Manufacturing","India","","Venture - Series Unknown","Jul 2025"
"SuperZop","www.superzop.com","Agriculture","India","$12,600,000","Series B","Jul 2025"
"Arteria Technologies","arteriatech.in","Biotechnology, Artificial Intelligence","India","$11,681,549","Series B","Jul 2025"
"Belong","getbelong.com","Cloud Computing","India","$5,000,000","Seed","Jul 2025"
"Linkrunner","www.linkrunner.io","Data, Artificial Intelligence","India","$583,341","Pre-Seed","Jul 2025"
"EnerComp Solutions","www.enercomp.in","Drones, Manufacturing","India","$232,939","Convertible Note","Jul 2025"
"Divine Hindu","www.divinehindu.in","E-commerce, Retail","India","$181,989","Seed","Jul 2025"
"Credit Wise Capital","creditwisecapital.com","Finance","India","$23,333,629","Private Equity","Jul 2025"
"InPrime Finserv","inprime.in","Finance","India","$5,832,979","Series A","Jul 2025"
"Clean Fanatics","cleanfanatics.com","Home Services","India","$1,985,863","Seed","Jul 2025"
"Chai Bisket","chaibisket.com","Media, Entertainment","India","$5,000,000","Seed","Jul 2025"
"Manjha Technologies","manjha.in","Mobile, Cloud Computing","India","$116,660","Seed","Jul 2025"
"Wiselife","wiselife.in","Retail, Consumer Goods","India","$933,277","Seed","Jul 2025"
"Qoruz","qoruz.com","Social Network","India","$500,000","Seed","Jul 2025"
"Green Aero Propulsion","www.greenaero.in","Utilities","India","$1,600,000","Seed","Jul 2025"
"Uravu Labs","www.uravulabs.com","Utilities","India","","Seed","Jul 2025"
"EarthKind Innovations","www.earthkindfoods.com","Agriculture","India","","Pre-Seed","Jul 2025"
"Qik Office","qikoffice.com","Artificial Intelligence","India","$150,000","Pre-Seed","Jul 2025"
"Trupeer Ai","www.trupeer.ai","Artificial Intelligence","India","$3,000,000","Seed","Jul 2025"
"QpiAI","qpiai.tech","Artificial Intelligence, Quantum Computing","India","$32,000,000","Series A","Jul 2025"
"Zuppa Geo Navigation Technologies","www.zuppagps.com","Drones, Cloud Computing","India","$1,500,000","Convertible Note","Jul 2025"
"KNOT","knotnow.co","Fashion, Cloud Computing","India","$3,000,000","Seed","Jul 2025"
"PayU","www.payu.in","Finance","India","$35,232,965","Venture - Series Unknown","Jul 2025"
"Burger Singh","burgersinghonline.com","Food and Beverage, E-commerce","India","$5,485,952","Venture - Series Unknown","Jul 2025"
"DIAL4242","www.dial4242.com","Healthcare","India","$1,048,275","Seed","Jul 2025"
"the HLTY.Beings collective","www.hlty.care","Healthcare","India","$116,280","Pre-Seed","Jul 2025"
"Lo! Foods","lofoods.fit","Healthcare","India","$3,500,000","Series A","Jul 2025"
"Truemeds","www.truemeds.in","Healthcare, Pharmaceuticals","India","$20,324,994","Series C","Jul 2025"
"Deep Algorithms Solutions","www.deepalgorithms.in","Information Technology, Professional Services","India","$1,259,163","Seed","Jul 2025"
"Navana Tech","www.navana.ai","Mobile","India","$815,325","Seed","Jul 2025"
"ZeusHygia","www.zeushygia.com","Pharmaceuticals, Manufacturing","India","$2,500,000","Series A","Jul 2025"
"The Wedding Company","www.theweddingcompany.com","Professional Services","India","$931,800","Pre-Seed","Jul 2025"
"Mafkin Robotics Pvt Ltd","www.mafkinrobotics.com","Robotics","India","","Seed","Jul 2025"
"Unibose Technology","unibose.com","Robotics, Home Services","India","$639,542","Seed","Jul 2025"
"Kluisz.ai","kluisz.ai","Artificial Intelligence, Cloud Computing","India","$9,600,000","Seed","Jul 2025"
